[2021-02-20 16:24:12,970 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_line_loss_reason_terminal_user_relation`
[2021-02-20 16:24:12,970 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,976 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_month_line_loss_rate_reason_relation`
[2021-02-20 16:24:12,976 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,980 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_process_employee_courts`
[2021-02-20 16:24:12,981 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,988 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_processing_result_additional_info`
[2021-02-20 16:24:12,988 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,993 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_resource`
[2021-02-20 16:24:12,993 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:12,997 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_role`
[2021-02-20 16:24:12,997 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:13,002 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_role_resource`
[2021-02-20 16:24:13,002 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:13,010 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_service_area_property`
[2021-02-20 16:24:13,010 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:13,020 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_site_processing`
[2021-02-20 16:24:13,020 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:13,066 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_sm_service`
[2021-02-20 16:24:13,066 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:13,073 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_terminal_user`
[2021-02-20 16:24:13,074 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:13,088 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_terminal_user_daily_data`
[2021-02-20 16:24:13,088 | base.py, _execute_context, line 1239 | INFO] {}
[2021-02-20 16:24:13,097 | base.py, _execute_context, line 1234 | INFO] SHOW CREATE TABLE `ne_tm_terminal_user_daily_data_repo`
[2021-02-20 16:24:13,098 | base.py, _execute_context, line 1239 | INFO] {}
